object_id,machine_type,zone,blender_id,game_type,Location,machine
Table_001,Tables,Pit 3,Obj_732,Roulette,324,324
Table_002,Tables,Pit 3,Obj_743,Roulette,332,332
Table_003,Tables,Pit 3,Obj_754,Roulette,333,333
Table_004,Tables,Pit 3,Obj_765,Roulette,322,322
Table_005,Tables,Pit 3,Obj_776,Roulette,323,323
Table_006,Tables,Pit 3,Obj_787,Roulette,321,321
Table_007,Tables,Pit 3,Obj_798,Roulette,318,318
Table_008,Tables,Pit 3,Obj_809,Roulette,320,320
Table_009,Tables,Pit 3,Obj_820,Roulette,317,317
Table_010,Tables,Pit 3,Obj_831,Roulette,319,319
Table_011,Tables,Pit 3,Obj_633,Blackjack,331,331
Table_012,Tables,Pit 3,Obj_644,Blackjack,330,330
Table_013,Tables,Pit 3,Obj_655,Blackjack,329,329
Table_014,Tables,Pit 3,Obj_666,Blackjack,328,328
Table_015,Tables,Pit 3,Obj_721,Blackjack,325,325
Table_016,Tables,Pit 3 Central,Obj_677,Blackjack,349,349
Table_017,Tables,Pit 3 Central,Obj_688,Blackjack,347,347
Table_018,Tables,Pit 3 Central,Obj_699,Blackjack,348,348
Table_019,Tables,Pit 3 Central,Obj_710,Blackjack,346,346
Table_020,Tables,Pit 3 Central,Obj_930,Blackjack,337,337
Table_021,Tables,Pit 3 Central,Obj_941,Blackjack,335,335
Table_022,Tables,Pit 3 Central,Obj_952,Blackjack,336,336
Table_023,Tables,Pit 3 Central,Obj_963,Blackjack,334,334
Table_024,Tables,Pit 3 Central,Obj_974,Blackjack,403,403
Table_025,Tables,Pit 3 Central,Obj_985,Blackjack,401,401
Table_026,Tables,Pit 3 Central,Obj_996,Blackjack,404,404
Table_027,Tables,Pit 3 Central,Obj_1007,Blackjack,402,402
Table_028,Tables,Pit 3 Central,Obj_1018,Blackjack,405,405
Table_029,Tables,Pit 3 Central,Obj_1029,Blackjack,406,406
Table_030,Tables,Pit 3 Central,Obj_842,Roulette,344,344
Table_031,Tables,Pit 3 Central,Obj_853,Roulette,345,345
Table_032,Tables,Pit 3 Central,Obj_864,Roulette,340,340
Table_033,Tables,Pit 3 Central,Obj_875,Roulette,342,342
Table_034,Tables,Pit 3 Central,Obj_886,Roulette,341,341
Table_035,Tables,Pit 3 Central,Obj_897,Roulette,343,343
Table_036,Tables,Pit 3 Central,Obj_908,Roulette,338,338
Table_037,Tables,Pit 3 Central,Obj_919,Roulette,339,339
